id,session_id,user_name,question_number,user_answer,correct,used_ia,created_at
005a8a64-6897-4ca8-8f0f-44b1101cbd46,614d10b6-31b0-43a8-a13e-c653b381f8d9,A1,9,It overgeneralizes from one example.,no,no,2026-05-19 07:56:00.946199+00
009bb75d-2eb4-415f-a49f-232fbbc64386,6eb74d21-df02-4b5f-9a23-15a7ad13c262,A1,3,No dogs are cats.,yes,no,2026-05-19 07:56:37.214596+00
01228e9b-f3a6-41a9-8ff6-4e80452beaea,614d10b6-31b0-43a8-a13e-c653b381f8d9,A1,10,"Valid, because at least some athletes who are musicians are creative.",yes,no,2026-05-19 07:56:00.946199+00
0166663c-9cfe-44ec-b289-81a9bc961849,4999b791-2557-4340-a9f7-8992f204f5d3,A4,4,Happiness and productivity are linked.,yes,no,2026-05-19 08:45:02.722149+00
01acede1-4706-47e4-bafd-5fd8e722d9ce,6cb08779-dd71-4453-9cb8-7a3947f92d42,A1,6,"Coffee contains caffeine, a stimulant.",no,no,2026-05-19 07:59:47.401532+00
01eb85fa-89e8-46c6-927e-3647cc4fd9cf,e1e95acb-b561-4266-8bc8-4302ec5f923f,A4,2,Park maintenance costs are high.,no,no,2026-05-19 08:42:51.749134+00
02996e3b-5275-4785-aa75-357a15c69487,ec0000ce-1a44-4800-b17e-5ef976d6ccfd,A1,6,Alertness levels vary during the day.,no,no,2026-05-19 07:58:55.130763+00
03edc5c1-84d8-4622-9acf-26d1fe8e6c3a,acba37f5-7a47-48f0-87d0-ba699797ccea,A1,6,Alertness levels vary during the day.,no,no,2026-05-19 07:55:21.32315+00
0448f039-876f-44ed-bcff-db159e0f7c0e,4885edc6-68dd-477d-90b5-400a1e444e9a,A1,8,"If school does not close, then it did not snow.",yes,no,2026-05-19 07:52:17.049354+00
04eac786-e45a-4fa9-b7c1-37c47e5a18bf,24c1a71c-bf27-40ec-b997-af97053bed02,A4,9,It assumes the conclusion in its premise.,yes,no,2026-05-19 08:39:02.06296+00
06531f22-15ce-41fe-b4e4-24893a2adbcf,4999b791-2557-4340-a9f7-8992f204f5d3,A4,6,"Coffee contains caffeine, a stimulant.",no,no,2026-05-19 08:45:02.722149+00
065484bc-ac58-4f74-b273-f5dfd4f3e42b,0283645c-044f-4cda-adc9-5d8db42f2a6d,A3,4,Remote work always improves productivity.,no,no,2026-05-19 09:12:23.246213+00
0759cdde-2569-445c-bfa2-1742edd4f5e7,15c46feb-60d7-4400-a9cb-79c857e4cddc,A5,2,Crime rates are higher in cities with fewer green spaces.,no,no,2026-05-19 07:18:51.380951+00
076ef948-d86f-4ad2-ab64-919541fcd1ee,3221e601-cb5c-48b6-aea5-a4f8783a1417,A4,9,It assumes the conclusion in its premise.,yes,no,2026-05-19 08:37:44.93456+00
07750b81-1884-4b19-84d4-f583bdab7290,f673824e-63c8-4c96-9b74-7fa4aee29c4e,A1,6,Alertness levels vary during the day.,no,yes,2026-05-19 08:03:38.125773+00
07759487-3c76-4611-b6b1-ad48690b180c,614d10b6-31b0-43a8-a13e-c653b381f8d9,A1,8,"If school does not close, then it did not snow.",yes,no,2026-05-19 07:56:00.946199+00
07a04e0c-2a7a-48c0-810c-0a8f94549248,c70f42dd-cfa5-47c9-a138-a56d5e72eb34,A1,10,"Valid, because at least some athletes who are musicians are creative.",yes,no,2026-05-19 07:55:21.643156+00
08023b72-b278-4a0e-9b9b-471656e09113,1920aa58-f55c-42f1-bffd-ce8fbe31b725,A5,1,Sparrows can fly.,yes,yes,2026-05-19 07:20:59.703539+00
083d8421-6f24-4aae-b3a7-5f6d016e843c,f0291424-8425-4d37-ae38-0fa2013490ee,A1,3,No dogs are cats.,yes,no,2026-05-19 07:58:13.588205+00
08eae80d-55ed-4d25-90e9-6100c0993811,585dc200-a107-437b-944a-5d3000975b5b,A1,10,"Valid, because at least some athletes who are musicians are creative.",yes,no,2026-05-19 07:57:28.858096+00
0905a4d8-d66d-4ac2-8ea4-e9455cb4c3ab,fde94a01-94d7-4d33-8ff0-9563f3bf6633,A1,3,Some mammals are dogs.,no,no,2026-05-19 07:52:17.351351+00
0940faeb-1e3d-4185-b062-2212092b540b,ef6e66b3-0213-48a7-8350-501b6437b1a6,A3,3,No dogs are cats.,yes,no,2026-05-19 09:12:04.173877+00
09bc5eaf-0426-4da8-8622-4460c170f6a3,435febf9-f4ba-4c77-b77b-ebf0db87d6a8,A1,3,No dogs are cats.,yes,no,2026-05-19 07:56:04.809418+00
0ab0b18b-8842-42ee-b58d-d9b705f6013f,69f0b04f-1a8b-4c7d-8728-de25ae34bea4,A1,7,False cause,no,no,2026-05-19 07:57:40.096099+00
0b32bdf0-5a7b-42aa-a626-4a04662f47b9,6eb74d21-df02-4b5f-9a23-15a7ad13c262,A1,4,Employees dislike commuting.,no,no,2026-05-19 07:56:37.214596+00
0c59bb55-78e4-4f8c-8a88-ba80482cf8d3,7d2e90ac-7043-4214-8fbc-83257b410321,A1,8,"If school does not close, then it did not snow.",yes,no,2026-05-19 07:47:55.532812+00
0c8a5cca-e990-40c9-b306-c5df852db3aa,21c243d7-907e-4ee6-921d-1200f25f95f8,A1,2,Cities with more parks also have higher employment rates.,yes,no,2026-05-19 07:50:42.000239+00
0d8a6d7a-9a19-4ac0-942a-f076a7c7c492,4999b791-2557-4340-a9f7-8992f204f5d3,A4,1,Some birds cannot fly.,no,no,2026-05-19 08:45:02.722149+00
0db3fb4a-f653-450c-bcc4-f259dc460e74,e1e95acb-b561-4266-8bc8-4302ec5f923f,A4,1,Sparrows can fly.,yes,no,2026-05-19 08:42:51.749134+00
0dc1b972-4ca0-42c6-88eb-2a172aeb13b8,c637a01b-3330-4e8a-99bc-d79f25a4e75f,A4,10,"Valid, because at least some athletes who are musicians are creative.",yes,no,2026-05-19 08:42:45.547456+00
0ddffc2d-ec36-4c7e-84da-ce505b236da6,24c1a71c-bf27-40ec-b997-af97053bed02,A4,6,Many people like the taste of coffee.,no,no,2026-05-19 08:39:02.06296+00
0e3b525a-45b5-49a8-903d-c068ae6bd194,7d2e90ac-7043-4214-8fbc-83257b410321,A1,1,Sparrows can fly.,yes,no,2026-05-19 07:47:55.532812+00
